Dzielnica;Cena;Powierzchnia;Rok budowy;lat;lon
Dębniki;599000.0;33.74;1930;50.048093508729835;19.928149817750604
Stare Miasto;828100.0;33.8;1910;50.06862320205907;19.93969687657865
Grzegórzki;699000.0;25.0;2016;50.06682313802004;19.952645197902612
Stare Miasto;599000.0;31.94;1911;50.069003680646404;19.931564598502224
Stare Miasto;895000.0;31.0 ;2021;50.053945449560864;19.93974919983962
Zwierzyniec;700000.0;38.96;1920;50.05661603141752;19.9193434413944
Krowodrza;785000.0;64.0;1932;50.06852822325191;19.92067632935439
Grzegórzki;678410.0;37.9;2022;50.0597497005425;19.971626175675574
Stare Miasto;1250000.0;77.24;1836;50.04893291700474;19.943251092219278
Stare Miasto;670000.0;36.61;2020;50.07840081955683;19.95168928030812
